Gen	Min	Max	AVG
0	50.05904843595426	499.9996462146517	469.5094181447569
1	243.51866636297757	499.9995981007427	487.5593099143898
2	224.83150582174218	499.9995841731062	488.1092218393414
3	282.4355694539529	499.9995916365197	491.34394789226496
4	278.5231704248977	499.9995201026632	490.4934570708088
5	316.0473087655425	499.99955461784197	492.1224436896681
6	328.6715555651539	499.9995580285705	493.10284475983184
7	380.45161391405776	499.9995077800492	495.30294538728214
8	278.2114116476514	499.9995093478435	492.50461595291137
9	371.3435407977208	499.99952775787835	495.07241460493077
10	332.9164876302782	499.9995244636268	492.97178581911515
11	368.9559566936762	499.99952852692587	494.912559690058
12	274.23636250800416	499.9994903664566	492.37593983115545
13	362.18583273510586	499.99952065484916	494.303482570766
14	351.6303540335548	499.9991026914285	494.29437489603697
15	325.6580734354655	499.99927785161145	493.56824917988985
16	407.67675610076634	499.9994261779065	496.6554896893643
17	381.04935351575546	499.99930377870334	495.9602464076054
18	435.4589086149488	499.9995182598059	497.2755464034892
19	391.1139901963823	499.99952131488317	496.1490718245827
20	372.3313729038216	499.9995270367247	495.7198641598667
21	421.9168660634412	499.9993632195814	496.8797030819799
22	415.508241667434	499.99925146751497	496.7801867491625
23	403.11810363973956	499.9991361039673	495.837631673144
24	408.53876751665024	499.9989920988239	496.7166486868103
25	419.54980649172825	499.9991175157133	496.60785680412204
26	404.8851082870629	499.999194117191	496.24876066114217
27	384.1987248138922	499.99922996395685	495.4548942200855
28	444.92325645565217	499.999195156946	496.7393778209231
29	413.25622436082267	499.9992859291569	496.1282705679777
30	394.1782701903483	499.9991965172083	495.2723454284502
31	427.0602658467191	499.9991248091895	497.0209323930472
32	408.54569795764115	499.9992184087448	496.7623732592955
33	426.4054978958454	499.99924842930494	497.3623299386788
34	414.21645852209934	499.9991875229988	497.0714625896054
35	458.9361603278394	499.99882718987664	498.2019349330041
36	470.55346414701734	499.99883685118965	498.4411802765364
37	428.6486833127014	499.9987994381003	497.07322186613936
38	432.3047815466808	499.99877445454865	497.5425721800113
39	436.6866035838472	499.9986336173874	497.4607435876033
40	428.692043388425	499.99866114866404	497.11295722819233
41	464.4720152941144	499.99879968752896	497.7202833001204
42	429.8274844929417	499.9986593369667	497.05105116089675
43	442.67653772689783	499.9985741968285	497.2177277576198
44	456.82440537001435	499.9984589634596	497.6708551200966
45	439.2623572628169	499.9981941104773	497.4055788613381
46	456.59607062782266	499.9981818003716	497.64397470939434
47	408.7944951691996	499.9857819571077	496.6908584113558
48	466.4955422728591	499.98620072698037	497.68557976792505
49	422.30805679571915	499.9866141061086	496.9240566260723
50	462.39683238541693	499.9934591632482	497.2393783914958
51	471.4765845806694	499.98419392536374	498.0141099667342
52	451.879198210715	499.98405934979723	497.73847507020827
53	427.0798675738457	499.9840611128623	497.35664954372737
54	409.3094931433849	499.9879160440186	496.7214080669595
55	461.9747612119178	499.98595387945613	497.9729851764681
56	434.08107170038585	499.987053917661	497.1384071730493
57	463.47703072825334	499.9941842754668	497.94588668061317
58	475.1677031463723	499.9785072823968	498.08673697781575
59	465.5269030658809	499.9787728399236	498.24556088393024
60	462.78314632699386	499.978910735789	498.1597551468154
61	448.3726668597471	499.9786785784041	497.88333800974556
62	466.12283264571164	499.9870213789955	498.14322013607784
63	489.30827804420767	499.98576965396643	498.8378910593298
64	470.84906868784066	499.98723103133875	498.47820953592947
65	483.10270513766017	499.98775143758206	498.2810839436292
66	485.5544906232032	499.9872098193051	498.6505263202229
67	488.4426415751808	499.9884805594047	498.6777068838098
68	477.1866705786597	499.98713081447534	498.430425417741
69	467.3023539005597	499.99176816972073	498.1016027067289
70	481.18959958867964	499.86059331105804	498.56710411113505
71	464.5272756601398	499.8563087508513	498.31531543647753
72	479.0617357989512	499.99214645458864	498.7292794847803
73	458.8031008892032	499.92715416789883	498.20519476834517
74	471.3527721972139	499.9272969524342	498.4296507062524
75	472.5709885580496	499.9273019251842	498.4092556331455
76	476.3760558738744	499.92311668468284	498.4170261624568
77	483.62037990316975	499.922948243604	498.68652500539616
78	469.53164359258733	499.92285366247796	498.51596000831034
79	482.93676349522315	499.9870678192537	498.6732606098558
80	482.53631592613823	499.99294940920777	498.7187624159329
81	468.3118181090833	499.9913151670639	498.16752432813007
82	484.682105708934	499.867385328903	498.28454589689335
83	482.95264719323643	499.8673947240566	498.59316417110773
84	483.9246542564654	499.89304254222327	498.38207764676383
85	484.03026137271934	499.8929405815246	498.51903418180086
86	479.0596952039076	499.9957695149552	498.1805549201718
87	476.48837272572763	499.9933962095619	498.53684911960886
88	485.74963597129073	499.99350560204493	498.58704806581056
89	487.0952772965477	499.82983438144396	498.7265465375521
90	473.14381870273036	499.82387550916496	498.4386393117193
91	472.81670069593605	499.82391800498584	498.1930018921348
92	492.7094717378358	499.82612702757467	498.63421372007434
93	488.2077600803304	499.81889465680337	498.5900247650904
94	485.36928626281144	499.8164416131106	498.6559254837826
95	483.7974585211899	499.81709450067063	498.66381939038575
96	481.6232593250835	499.9921926928504	498.3549125517134
97	473.04671435801134	499.99256799285985	498.5082169787673
98	478.59423196384785	499.9927124511715	498.6033560670402
99	494.30828040116893	499.9826294839413	498.96087559359154
