Seed IDX	Generation	Fitness	Chromosome
0	4	3999.9368832224	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	
1	1	3999.9407196464	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	
2	22	3999.9483236639	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	
3	67	3999.8982249375	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	
4	57	3999.9811367439	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	
5	18	3999.9732403424	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	
6	18	3999.9694732479	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	
7	1	3999.9360199999	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	
8	11	3999.989299	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	
9	15	3999.9736510384	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	
10	9	3999.9502854704	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	
11	99	3999.9891056384	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	
12	31	3999.7042768799	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	
13	10	3999.4490153439	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	
14	49	3999.8861501039	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	
15	17	3999.9952339375	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	
16	29	3999.9803188144	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	
17	18	3999.7045809375	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
18	89	3999.9441112064	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	
19	60	3999.9318951984	0	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	
20	52	3999.7361842944	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	
21	18	3999.9949821599	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	
22	2	3999.8586234959	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	
23	62	3999.9979777359	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	
24	60	3999.9853806639	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	
25	42	3999.9704021679	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	
26	40	3999.9754603824	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	
27	24	3999.6347147824	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	
28	9	3999.9122926064	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	
29	74	3999.9968114224	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	
