Gen	Min	Max	AVG
0	1323.6252217551582	3998.94476384369	3508.553746534213
1	1745.129154151269	3998.6285205817676	3610.2854917868276
2	1925.136471634249	3998.9165016209636	3664.7930501403507
3	2020.048758697675	3999.073520364583	3705.4310055095057
4	2317.9372908431988	3998.46933174357	3734.0570788997406
5	2507.467413806409	3998.3032351219667	3760.693815932546
6	2540.530139711153	3999.0760638162737	3772.588345184163
7	2565.4253450569117	3998.6278386135436	3778.4151840388354
8	2624.6100546693856	3999.0734239724798	3776.5995078888454
9	2569.5551084868257	3999.201400877946	3791.756311111844
10	2596.990212622896	3999.3045442534503	3800.0396831178377
11	2702.19210865478	3999.2280716910477	3808.806588286682
12	2801.5805222882723	3998.599788004604	3812.62436031859
13	2829.981041657496	3998.6064522912598	3817.154495154331
14	2646.916474997126	3998.700937747104	3821.728633413862
15	2846.7592222726917	3998.7300493614944	3827.6061801254127
16	3004.923982607049	3998.335459409071	3833.3768177292645
17	2928.8461970441654	3998.1727350750602	3841.088584442301
18	2911.650500274202	3997.7127334924944	3841.27358517248
19	3026.2052616536052	3998.2017464722767	3846.378834223378
20	3128.72364200127	3997.7613600073732	3859.7857585853535
21	3113.1710778755028	3997.7929833164294	3857.890913824975
22	3013.4883189139323	3998.4669241083334	3858.7836866440216
23	3114.4557991228335	3998.902782722583	3865.0387400036107
24	3153.9679898438103	3996.717230435596	3868.670391588212
25	3262.4605494547754	3996.7993937833203	3874.9776129956695
26	3202.2571879337106	3996.9791921494493	3882.1639199611454
27	3332.8922316928097	3996.9112973189326	3887.925470522637
28	3352.7899623751196	3999.0464792151574	3888.820883163757
29	3412.534153266149	3998.9472925393266	3895.221567535334
30	3315.4903014939323	3998.9582816070515	3892.6428523528175
31	3326.832655415749	3998.9492002520637	3894.1607164852885
32	3397.0713681818766	3998.4375827404433	3895.31089058407
33	3452.985451362837	3998.552245168113	3902.2864054273723
34	3300.252899363216	3998.2403002334036	3892.515297662214
35	3372.300341724284	3997.8698425847533	3897.3288945486756
36	3410.4032534007465	3997.594568960647	3903.151302725606
37	3432.6054068416565	3998.3158903792105	3902.404127587662
38	3333.3014880093324	3998.0059853519006	3902.955723458131
39	3368.3180279882226	3997.153111100433	3902.245200098729
40	3482.0051819775535	3995.7352366071004	3904.8977106651955
41	3474.509681283799	3997.617799290619	3908.963927221096
42	3506.820919862513	3996.684003725564	3913.8193390096535
43	3572.943104559167	3997.233327318513	3913.4236878798056
44	3612.2155503841327	3997.07991862854	3917.966045951632
45	3451.9879780907854	3996.768934915214	3910.17184176505
46	3440.8917176929162	3996.465970359256	3909.907798895451
47	3432.6236885278486	3996.180045755046	3908.098157781067
48	3455.60203143265	3996.4569407052927	3903.99239639989
49	3460.173062924219	3995.8954744073662	3903.489075341088
50	3537.2673802830964	3995.9918395640125	3907.901986097987
51	3506.4158515670993	3995.81584594103	3911.1895837254515
52	3495.313668252537	3995.6003259269996	3912.968235378899
53	3520.0054805065065	3995.7867405555767	3913.1633377532476
54	3486.2605055899194	3994.77174378443	3909.1232921377614
55	3613.2821799122225	3994.23601149697	3913.0621517389577
56	3634.2668234683792	3995.6301494492927	3913.4099845420596
57	3539.249474089613	3994.94185964869	3916.109813596519
58	3533.5024737950002	3994.3606337814995	3913.5656063940432
59	3551.1001020003328	3994.364519525987	3913.1916001561854
60	3529.4492970674287	3994.190221073287	3906.8906373846416
61	3481.5577854065164	3994.9388946806002	3909.196457825695
62	3404.4572891818298	3994.9025111268406	3906.7462878930555
63	3419.0675361745166	3995.3720724069935	3904.6372366282653
64	3443.3801233187824	3992.969459607953	3907.528408809677
65	3388.0052801995826	3994.53228447297	3904.8999433375834
66	3518.158034193876	3995.1343372869933	3912.690262398511
67	3465.03947897627	3994.0287352917435	3909.5034888900573
68	3553.5205723960626	3994.5320983658735	3910.3679429838608
69	3535.071855308593	3994.150505316597	3911.269764071277
70	3517.6390575861933	3994.094939174884	3911.9824534131176
71	3588.9022908131205	3994.405846004864	3914.8530275049284
72	3562.976036891103	3993.808408013127	3917.2431013177547
73	3556.9649475645997	3995.48432897468	3917.9191367581507
74	3553.9077778108854	3994.7769740804374	3917.114458465514
75	3581.0881840665165	3994.3389796638503	3918.1552111873225
76	3565.29847680353	3995.557345125344	3922.1106670960808
77	3618.425406782461	3994.5882862380868	3923.1938376295593
78	3586.097456304814	3994.51091760849	3926.1494243132356
79	3589.8880388868356	3994.361491879205	3925.4730070413134
80	3518.3316522309465	3994.179245027954	3923.2553042901604
81	3629.230387280166	3994.2337910193673	3929.1885916577626
82	3611.255956523267	3993.9296469517403	3929.4713423598455
83	3596.953503287627	3994.209485531054	3930.742194472725
84	3635.4890833673658	3994.4938183319564	3928.8897611064717
85	3635.359594124173	3992.8322702230466	3933.0148826511013
86	3647.7074295547336	3993.448682193554	3934.9041982894555
87	3573.16251260892	3994.6806250760637	3933.9718709890553
88	3542.961502999851	3994.8276337242173	3930.6765212656364
89	3565.8505408443793	3993.997044399207	3928.7280822445123
90	3655.779029936806	3992.954747822509	3933.792456964433
91	3665.9753854285373	3992.9803241672103	3935.1878787450028
92	3670.4376354779865	3992.8781194366466	3938.161603639574
93	3716.0599865873182	3992.88803305537	3938.4181300552505
94	3750.0576950544128	3993.4545189114206	3940.856133856537
95	3626.612787915636	3993.360477187954	3941.670321021345
96	3621.749067870893	3993.454070065284	3941.050235703401
97	3592.9585024053963	3992.1906432074693	3943.6370901359924
98	3691.05361818689	3991.868911045503	3945.851206008257
99	3697.572437775477	3992.069756557497	3939.451883040199
