Gen	Min	Max	AVG
0	7.0	25.0	19.257657657657656
1	9.033333333333333	25.0	20.11486486486486
2	10.533333333333333	24.966666666666665	20.495045045045043
3	10.7	25.0	20.710810810810816
4	11.433333333333334	25.0	20.845495495495495
5	11.366666666666667	25.0	20.933783783783785
6	11.7	24.966666666666665	21.02882882882883
7	12.3	25.0	21.02612612612613
8	11.733333333333333	25.0	21.163063063063067
9	12.666666666666666	25.0	21.163963963963955
10	12.9	25.0	21.270720720720718
11	12.466666666666667	25.0	21.390090090090087
12	12.733333333333333	25.0	21.445945945945944
13	13.0	25.0	21.54234234234234
14	13.633333333333333	25.0	21.566666666666666
15	13.8	25.0	21.58738738738739
16	13.733333333333333	25.0	21.72207207207207
17	14.533333333333333	25.0	21.803153153153158
18	14.433333333333334	25.0	21.86036036036036
19	14.1	25.0	21.76621621621622
20	14.2	25.0	21.810360360360367
21	14.166666666666666	24.966666666666665	21.845495495495495
22	14.633333333333333	25.0	21.862612612612615
23	14.633333333333333	25.0	21.89324324324324
24	14.766666666666667	25.0	22.038738738738736
25	14.766666666666667	25.0	22.0527027027027
26	15.433333333333334	24.966666666666665	22.089189189189188
27	15.2	24.966666666666665	22.06801801801801
28	14.933333333333334	25.0	21.98063063063063
29	14.966666666666667	25.0	22.06936936936937
30	15.433333333333334	25.0	22.101351351351344
31	15.233333333333333	25.0	22.08063063063063
32	15.1	25.0	22.072522522522522
33	15.566666666666666	25.0	22.175675675675677
34	15.533333333333333	25.0	22.23018018018018
35	15.933333333333334	25.0	22.288288288288285
36	15.8	25.0	22.276576576576577
37	16.133333333333333	25.0	22.379279279279274
38	15.9	25.0	22.374324324324327
39	16.166666666666668	25.0	22.39954954954955
40	15.666666666666666	25.0	22.388288288288287
41	15.933333333333334	25.0	22.44504504504505
42	16.733333333333334	25.0	22.586486486486486
43	16.833333333333332	25.0	22.54054054054054
44	17.033333333333335	25.0	22.56846846846847
45	17.366666666666667	25.0	22.69144144144144
46	16.833333333333332	25.0	22.728828828828828
47	16.866666666666667	25.0	22.709009009009012
48	17.5	25.0	22.805855855855857
49	17.9	25.0	22.811711711711713
50	17.566666666666666	25.0	22.763063063063058
51	17.6	25.0	22.717567567567567
52	17.7	25.0	22.74009009009009
53	17.166666666666668	25.0	22.761711711711712
54	17.7	25.0	22.801351351351354
55	17.566666666666666	25.0	22.806306306306308
56	18.066666666666666	25.0	22.84009009009009
57	17.733333333333334	25.0	22.87657657657657
58	17.766666666666666	25.0	22.87027027027027
59	18.1	25.0	22.886936936936934
60	18.233333333333334	25.0	22.972972972972972
61	18.1	25.0	22.981531531531527
62	18.266666666666666	25.0	22.97522522522523
63	17.933333333333334	25.0	22.98513513513514
64	18.266666666666666	25.0	23.050900900900892
65	18.3	25.0	23.018918918918917
66	18.466666666666665	25.0	23.050900900900903
67	18.9	25.0	23.11351351351351
68	18.633333333333333	25.0	23.145945945945943
