Gen	Min	Max	AVG
0	103.63643944361276	499.99964787038965	475.4218734370501
1	499.92458670154934	499.9996712835637	499.9892371608975
2	499.99672702481075	499.99972407503367	499.99861032715455
3	499.9988047444212	499.9997609586668	499.9992926406439
4	499.9993025331058	499.99979397980945	499.9995444915902
5	499.9995479998489	499.9998103317465	499.99966859068866
6	499.9996637867869	499.9998162802502	499.999738558039
7	499.9997396806277	499.9998248286398	499.9997747519895
8	499.99977297286364	499.99983147645685	499.9997975111037
9	499.99980035829435	499.9998337498347	499.99981123542045
10	499.999809223371	499.99983636197493	499.99981777381294
11	499.9998149780239	499.9998375946674	499.99982327876137
12	499.99982324409973	499.9998392426864	499.999828533763
13	499.9998277054552	499.99984018945736	499.9998315362752
14	499.99982960228976	499.99984094778705	499.99983394463356
15	499.99983372006847	499.9998418344284	499.999836898717
16	499.9998368569578	499.9998420689405	499.9998388081766
17	499.99983878642394	499.9998426381806	499.9998397484803
18	499.9998394876388	499.9998432193866	499.99984045653673
19	499.999840241616	499.9998433854974	499.99984107285377
20	499.9998408891857	499.99984363491154	499.9998415878037
21	499.9998413327377	499.99984435498726	499.9998420812584
22	499.99984168355996	499.9998448829837	499.99984273420273
23	499.9998425691135	499.99984517414674	499.9998430794892
24	499.99984301306876	499.9998452492486	499.9998434500451
25	499.99984322177386	499.99984606911704	499.99984385063203
26	499.9998433914721	499.9998470795313	499.9998443910116
27	499.99984433008797	499.9998471095994	499.99984510067577
28	499.99984510941914	499.9998471496106	499.99984539844394
29	499.9998451314816	499.9998472416394	499.9998457308048
30	499.99984569569887	499.99984725655213	499.9998461571487
31	499.9998460875277	499.9998472988931	499.9998463287849
32	499.9998461598236	499.9998473963539	499.9998465296662
33	499.999846360937	499.99984803751846	499.9998467362878
34	499.99984646593396	499.99984813034473	499.99984710384797
35	499.99984724865755	499.9998481417831	499.999847369777
36	499.999847313267	499.99985062108385	499.99984751057707
37	499.9998474189827	499.9998506233461	499.9998476476122
38	499.9998474285447	499.9998506259735	499.9998478656336
39	499.9998475979039	499.9998507495022	499.9998481923469
40	499.99984804905364	499.99985087334454	499.99984849348755
41	499.99984813635336	499.99985087412097	499.9998489498564
42	499.99984815035265	499.99985087900785	499.9998498270742
43	499.9998506240845	499.9998509171933	499.999850663965
44	499.99985065027454	499.9998511222565	499.9998507075448
45	499.99985065854	499.9998511230123	499.9998507665733
46	499.99985077682794	499.99985117580144	499.9998508356438
47	499.99985077874743	499.99985117994277	499.9998508995162
48	499.9998508801596	499.99985123323006	499.9998509611478
49	499.99985088129233	499.9998512571795	499.9998510373202
50	499.9998510271209	499.9998513093719	499.99985107144346
51	499.999851029397	499.9998513628145	499.9998511106291
52	499.9998511241143	499.99985141622403	499.99985117616757
53	499.9998511316407	499.9998514221995	499.9998512239552
54	499.99985122723564	499.99985145063624	499.9998512735229
55	499.9998512354879	499.9998514760585	499.99985131695513
56	499.99985131011937	499.9998516244531	499.9998513488844
57	499.9998513196923	499.99985163456006	499.9998513874796
58	499.9998514162226	499.9998516832608	499.9998514352489
59	499.99985141659704	499.9998516840076	499.99985145733393
60	499.9998514238271	499.99985173577085	499.9998514930105
61	499.99985143318554	499.99985174286945	499.99985155128724
62	499.9998514642294	499.99985175482743	499.9998516526681
63	499.9998516694086	499.9998518494407	499.9998516971747
64	499.9998516852121	499.99985185242855	499.9998517176865
65	499.9998516878537	499.999851856924	499.9998517468917
66	499.9998517365186	499.99985195447965	499.9998517695752
67	499.9998517432452	499.99985195447965	499.99985179331657
68	499.99985175482743	499.99985195447965	499.9998518371875
69	499.99985184794633	499.99985195447965	499.9998518596083
70	499.99985185093414	499.99985195447965	499.99985187140743
71	499.99985185392484	499.9998519552265	499.9998518905193
72	499.99985185505625	499.99985195560697	499.99985193007313
73	499.9998519526119	499.99985195560697	499.99985195418907
74	499.99985195447965	499.9998519615826	499.9998519547951
75	499.99985195447965	499.99985196424535	499.9998519551862
76	499.99985195447965	499.99985196461876	499.9998519557955
77	499.99985195560697	499.9998519780658	499.999851956917
78	499.99985195560697	499.9998519810531	499.999851957593
79	499.99985195560697	499.9998519810531	499.99985195933283
80	499.9998519559804	499.9998519810531	499.999851963155
81	499.99985196461876	499.9998520263717	499.9998519692378
82	499.99985196461876	499.9998520263717	499.9998519728834
83	499.99985197096936	499.9998520282386	499.99985197808263
84	499.9998519810531	499.9998520282386	499.99985198297026
85	499.9998519810531	499.99985203122986	499.99985198410076
86	499.9998519810531	499.99985203122986	499.999851987126
87	499.99985198142645	499.99985203122986	499.99985199022643
88	499.99985198142645	499.9998520555307	499.9998519958571
89	499.99985198291995	499.9998520555307	499.99985200831867
90	499.9998520282386	499.9998520559041	499.9998520319702
91	499.99985203122986	499.9998520559041	499.99985203469913
92	499.99985203122986	499.9998520559041	499.99985203722633
93	499.99985203122986	499.9998520618808	499.99985204520425
94	499.9998520555307	499.9998520861946	499.99985205656964
95	499.9998520555307	499.9998520861946	499.9998520582815
96	499.9998520559041	499.99985208694136	499.99985206060677
97	499.9998520559041	499.99985208694136	499.9998520662594
98	499.9998520559041	499.99985208694136	499.9998520747475
99	499.9998520858072	499.99985208694136	499.9998520862375
